"ConsumerDiscretionary",ConsumerStaples,Energy,Finance,HealthCare,Industrials,Technology,Telecommunications,Other
AMZN,PEP,XOM,JPM,JNJ,TMO,MSFT,CSCO,QQQ
V,KO,CVX,BRKB,UNH,UNP,AAPL,VZ,SPY
MA,MDLZ,COP,BAC,MRK,RTX,GOOGL,CMCSA,IVV
HD,CVS,,WFC,LLY,DHR,META,T,GLD
PG,,,AXP,ABBV,CAT,NVDA,,
DIS,,,GS,PFE,LMT,GOOG,,
WMT,,,SPGI,ABT,HON,AVGO,,
COST,,,SCHW,AMGN,UPS,TSM,,
MCD,,,C,PM,DE,ORCL,,
NFLX,,,VOO,BMY,LIN,ADBE,,
TSLA,,,MS,MDT,,QCOM,,
UBER,,,IWM,NVO,,CRM,,
CAN,,,BX,SYK,,AMD,,
LOW,,,,ELV,,INTC,,
NKE,,,,,,AMAT,,
PYPL,,,,,,INTU,,
SBUX,,,,,,IBM,,
TJX,,,,,,NEE,,
BKNG,,,,,,GE,,
FDX,,,,,,MU,,
,,,,,,NOW,,
,,,,,,TXN,,
,,,,,,ETN,,
,,,,,,ADP,,
,,,,,,LRCX,,
,,,,,,ASML,,
,,,,,,CRWD,,
,,,,,,PANW,,
